DateID,LabID,OthLabID,Problems,CRA,Error,DC13,Material,Species,SiteID,SiteName,SiteContext,SiteType,Country,Longitude,Latitude,LocQual,Source,Comments
JM218,AA84597,,,3740,96,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM219,AA84598,,,4326,56,,charcoal,,303317,Saruq Al-Hadid,,settlement,AE,55.239796,24.665623,A,"Herrmann, Casana and Qandil, 2012",
JM225,MAMS20862,,,2803,20,,sediment,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM226,MAMS20861,,,2894,20,,charcoal,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM227,MAMS27413,,,3399,26,,ash,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM228,MAMS27412,,,3408,26,,ash,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM229,MAMS20864,,,3580,26,,bone,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM230,MAMS27410,,,3880,26,,charcoal,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM231,Hd-28956,,,5094,82,,sediment,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM232,MAMS20866,,,5195,33,,sediment,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM233,MAMS15107,,,5420,28,,ash,,JMSID35,"Wadi al Hilo, HLO1",,settlement,AE,56.2185417,24.99006564,A,"Uerpmann et al., 2018",
JM264,MC-2259,,,3520,90,,,,JMSID37,Hilli 8,F20,,AE,55.79321847,24.29295099,B,"Cleuziou, 1980, p. 32",
